title,description,category,link
All Products,N/A,N/A,N/A
All Products,N/A,N/A,N/A
Condoms,N/A,N/A,N/A
Condoms,N/A,N/A,N/A
Lubes,N/A,N/A,N/A
Lubes,N/A,N/A,N/A
Toys,N/A,N/A,N/A
Toys,N/A,N/A,N/A
Our Most Loved,Girth,N/A,https://www.durex.co.uk/products/durex-intensity
Durex Intensity Condoms Regular Fit 5 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity
Durex Intensity Condoms Regular Fit 5 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity
Durex Intensity Condoms Regular Fit 5 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity
Durex Intensity Condoms Regular Fit 5 Pack,N/A,N/A,https://www.durex.co.uk/products/durex-intensity
N/A,Girth,N/A,N/A
Durex Intensity Condoms Extra Large 10 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity-condoms-xl-1
Durex Intensity Condoms Extra Large 10 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity-condoms-xl-1
Durex Intensity Condoms Extra Large 10 Pack,Girth,N/A,https://www.durex.co.uk/products/durex-intensity-condoms-xl-1
Durex Intensity Condoms Extra Large 10 Pack,N/A,N/A,https://www.durex.co.uk/products/durex-intensity-condoms-xl-1
N/A,Girth,N/A,N/A
Durex Nude Ultra Thin Regular Fit Condoms 6 pack,Girth,N/A,https://www.durex.co.uk/products/nude-regular-fit-condoms
Durex Nude Ultra Thin Regular Fit Condoms 6 pack,Girth,N/A,https://www.durex.co.uk/products/nude-regular-fit-condoms
Durex Nude Ultra Thin Regular Fit Condoms 6 pack,Girth,N/A,https://www.durex.co.uk/products/nude-regular-fit-condoms
Durex Nude Ultra Thin Regular Fit Condoms 6 pack,N/A,N/A,https://www.durex.co.uk/products/nude-regular-fit-condoms
N/A,Girth,N/A,N/A
Durex Surprise Me Condoms 40 pack,Girth,N/A,https://www.durex.co.uk/products/surprise-me-condoms
Durex Surprise Me Condoms 40 pack,Girth,N/A,https://www.durex.co.uk/products/surprise-me-condoms
Durex Surprise Me Condoms 40 pack,Girth,N/A,https://www.durex.co.uk/products/surprise-me-condoms
Durex Surprise Me Condoms 40 pack,N/A,N/A,https://www.durex.co.uk/products/surprise-me-condoms
N/A,Girth,N/A,N/A
Durex Naturals Intimate Lube Extra Sensitive,Type,N/A,https://www.durex.co.uk/products/naturals-extra-sensitive-lube
Durex Naturals Intimate Lube Extra Sensitive,Type,N/A,https://www.durex.co.uk/products/naturals-extra-sensitive-lube
Durex Naturals Intimate Lube Extra Sensitive,Type,N/A,https://www.durex.co.uk/products/naturals-extra-sensitive-lube
Durex Naturals Intimate Lube Extra Sensitive,N/A,N/A,https://www.durex.co.uk/products/naturals-extra-sensitive-lube
N/A,Type,N/A,N/A
Slide & Ride Masturbation Sleeve,Easy to clean,N/A,https://www.durex.co.uk/products/slide-ride-masturbation-sleeve-sex-toy
Slide & Ride Masturbation Sleeve,Easy to clean,N/A,https://www.durex.co.uk/products/slide-ride-masturbation-sleeve-sex-toy
Slide & Ride Masturbation Sleeve,Easy to clean,N/A,https://www.durex.co.uk/products/slide-ride-masturbation-sleeve-sex-toy
Slide & Ride Masturbation Sleeve,N/A,N/A,https://www.durex.co.uk/products/slide-ride-masturbation-sleeve-sex-toy
N/A,Easy to clean,N/A,N/A
WhyDurex?,"At our core, we believe that everyone deserves to have safer and more pleasurable sex.",N/A,N/A
OPEN TO ALL,"At our core, we believe that everyone deserves to have safer and more pleasurable sex.",N/A,N/A
OPEN TO ALL,"At our core, we believe that everyone deserves to have safer and more pleasurable sex.",N/A,N/A
OPEN TO ALL,"At our core, we believe that everyone deserves to have safer and more pleasurable sex.",N/A,N/A
BIG ON PROTECTION,"We try to do the right thing for you and the planet, by sourcing latex in a responsible way that benefits local communities.",N/A,N/A
BIG ON PROTECTION,"We try to do the right thing for you and the planet, by sourcing latex in a responsible way that benefits local communities.",N/A,N/A
BIG ON PROTECTION,"We try to do the right thing for you and the planet, by sourcing latex in a responsible way that benefits local communities.",N/A,N/A
RIGHT WAY UP,"To help you get it on right first time, the Durex logo on the foil shows you the bottom of the condom.",N/A,N/A
RIGHT WAY UP,"To help you get it on right first time, the Durex logo on the foil shows you the bottom of the condom.",N/A,N/A
RIGHT WAY UP,"To help you get it on right first time, the Durex logo on the foil shows you the bottom of the condom.",N/A,N/A
BASIC CONFIDENCE,We're passionate about helping people find their best fit so they can experience even more pleasure,N/A,N/A
BASIC CONFIDENCE,We're passionate about helping people find their best fit so they can experience even more pleasure,N/A,N/A
BASIC CONFIDENCE,We're passionate about helping people find their best fit so they can experience even more pleasure,N/A,N/A
